Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Relationen mellan betyg och nationella prov
Vald termin: HT25


Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Prov;Antal elever;Andel lägre;Andel lika;Andel högre;Antal kvinnor;Andel lägre kvinnor;Andel lika kvinnor;Andel högre kvinnor;Antal män;Andel lägre män;Andel lika män;Andel högre män;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Matematik 3C/Forts. nivå 1C;28;.;92,9;7,1;9;..;..;..;19;..;..;..;
Alströmergymnasiet Sektor 6;16505784;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Matematik 3C/Forts. nivå 1C;9;..;..;..;6;..;..;..;3;..;..;..;
Vasagymnasiet;71262305;Arboga;1984;Kommunal;Arboga kommun;2120002122;Matematik 3C/Forts. nivå 1C;12;.;66,7;33,3;2;..;..;..;10;..;..;..;
Solbergagymnasiet;48009865;Arvika;1784;Kommunal;Arvika kommun;2120001892;Matematik 4/Forts. nivå 2;29;.;89,7;10,3;9;..;..;..;20;..;..;..;
Karlfeldtgymnasiet;30376472;Avesta;2084;Kommunal;Avesta kommun;2120002262;Matematik 3C/Forts. nivå 1C;20;.;100,0;.;6;..;..;..;14;..;..;..;
Jämtlands Gymn, Berg;60743463;Berg;2326;Kommunal;Jämtlands Gymnasieförbund;2220001636;Engelska 6/Nivå 2;10;.;80,0;20,0;4;..;..;..;6;..;..;..;
Jämtlands Gymn, Berg;60743463;Berg;2326;Kommunal;Jämtlands Gymnasieförbund;2220001636;Svenska 1/Nivå 1;1;..;..;..;.;.;.;.;1;..;..;..;
Jämtlands Gymn, Berg;60743463;Berg;2326;Kommunal;Jämtlands Gymnasieförbund;2220001636;Svenska 3/Nivå 3;3;..;..;..;1;..;..;..;2;..;..;..;
Jämtlands Gymn, Berg;60743463;Berg;2326;Kommunal;Jämtlands Gymnasieförbund;2220001636;Svenska som andraspråk 3/Nivå 3;2;..;..;..;2;..;..;..;.;.;.;.;
Friskolan Nytorp;21567982;Bollnäs;2183;Enskild;Friskolan Nytorp AB;5568813561;Engelska 6/Nivå 2;3;..;..;..;1;..;..;..;2;..;..;..;
Friskolan Nytorp;21567982;Bollnäs;2183;Enskild;Friskolan Nytorp AB;5568813561;Svenska 3/Nivå 3;2;..;..;..;1;..;..;..;1;..;..;..;
Hälsingegymnasiet;91748148;Bollnäs;2183;Enskild;Hälsingegymnasiet AB;5567600886;Matematik 4/Forts. nivå 2;20;.;70,0;30,0;9;..;..;..;11;..;..;..;
Bäckängsgymnasiet A;43634528;Borås;1490;Kommunal;Borås kommun;2120001561;Matematik 4/Forts. nivå 2;32;.;93,8;6,3;21;.;90,5;9,5;11;.;100,0;.;
Realgymnasiet Borås;88534520;Borås;1490;Enskild;Lärande i Sverige AB;5565715892;Matematik 1A/Nivå 1A;12;.;75,0;25,0;9;..;..;..;3;..;..;..;
Södertörns Gymnasium;53400472;Botkyrka;0127;Enskild;STEG för framtiden Aktiebolag;5567538383;Matematik 4/Forts. nivå 2;17;.;100,0;.;6;..;..;..;11;..;..;..;
Akademi Båstad Gymnasium;59483268;Båstad;1278;Kommunal;Båstads kommun;2120000944;Matematik 4/Forts. nivå 2;9;..;..;..;6;..;..;..;3;..;..;..;
Marina läroverket i Danderyd;82814120;Danderyd;0162;Enskild;Marina Läroverket Danderyd AB;5565160669;Matematik 1A/Nivå 1A;60;1,7;95,0;3,3;31;3,2;93,5;3,2;29;.;96,6;3,4;
Viktor Rydberg gy. Djursholm;45164827;Danderyd;0162;Enskild;Stiftelsen Viktor Rydbergs Skolor;8120005650;Matematik 3C/Forts. nivå 1C;13;.;100,0;.;4;..;..;..;9;..;..;..;
Westerlundska gymnasiet;75082798;Enköping;0381;Kommunal;Enköpings kommun;2120000282;Matematik 3C/Forts. nivå 1C;26;3,8;88,5;7,7;16;6,3;87,5;6,3;10;.;90,0;10,0;
Realgymnasiet Eskilstuna;39936461;Eskilstuna;0484;Enskild;Lärande i Sverige AB;5565715892;Matematik 3C/Forts. nivå 1C;2;..;..;..;1;..;..;..;1;..;..;..;
Carl Engströmgymnasiet;15077883;Eslöv;1285;Kommunal;Eslövs kommun;2120001173;Matematik 4/Forts. nivå 2;12;.;75,0;25,0;4;..;..;..;8;..;..;..;
Ållebergsgymnasiet A;17008320;Falköping;1499;Kommunal;Falköpings kommun;2120001744;Matematik 4/Forts. nivå 2;49;.;81,6;18,4;19;.;68,4;31,6;30;.;90,0;10,0;
Falu Frigymnasium;25720752;Falun;2080;Enskild;Falu Frigymnasium Aktiebolag;5566112834;Matematik 3C/Forts. nivå 1C;10;.;100,0;.;1;..;..;..;9;..;..;..;
Lugnetgymnasiet;73046137;Falun;2080;Kommunal;Falu kommun;2120002221;Matematik 3C/Forts. nivå 1C;39;2,6;79,5;17,9;10;.;70,0;30,0;29;3,4;82,8;13,8;
Spångbergsgymnasiet;19586169;Filipstad;1782;Kommunal;Filipstads kommun;2120001876;Matematik 4/Forts. nivå 2;7;..;..;..;5;..;..;..;2;..;..;..;
Curt Nicolin Gymnasiet;95683850;Finspång;0562;Enskild;Curt Nicolin Gymnasiet AB;5566431044;Matematik 3C/Forts. nivå 1C;1;..;..;..;.;.;.;.;1;..;..;..;
Curt Nicolin Gymnasiet;95683850;Finspång;0562;Enskild;Curt Nicolin Gymnasiet AB;5566431044;Matematik 4/Forts. nivå 2;29;.;89,7;10,3;4;..;..;..;25;..;..;..;
Motorsportsgymnasiet i Anderstorp;90003262;Gislaved;0662;Enskild;Värmdö Tekniska Utbildningar Aktiebolag, Vtu;5563836757;Svenska 3/Nivå 3;8;..;..;..;.;.;.;.;8;..;..;..;
Motorsportsgymnasiet i Anderstorp;90003262;Gislaved;0662;Enskild;Värmdö Tekniska Utbildningar Aktiebolag, Vtu;5563836757;Svenska som andraspråk 3/Nivå 3;2;..;..;..;.;.;.;.;2;..;..;..;
