Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Relationen mellan betyg och nationella prov
Vald termin: VT24


Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Prov;Antal elever;Andel lägre;Andel lika;Andel högre;Antal kvinnor;Andel lägre kvinnor;Andel lika kvinnor;Andel högre kvinnor;Antal män;Andel lägre män;Andel lika män;Andel högre män;
Yrkesgymnasiet Ale;93221031;Ale;1440;Enskild;Lärlingsgymnasiet i Sverige AB;5567628176;Engelska 5;53;11,3;81,1;7,5;11;9,1;90,9;.;42;11,9;78,6;9,5;
Yrkesgymnasiet Ale;93221031;Ale;1440;Enskild;Lärlingsgymnasiet i Sverige AB;5567628176;Matematik 1A;58;.;70,7;29,3;13;.;53,8;46,2;45;.;75,6;24,4;
Yrkesgymnasiet Ale;93221031;Ale;1440;Enskild;Lärlingsgymnasiet i Sverige AB;5567628176;Svenska 1;56;3,6;73,2;23,2;13;7,7;61,5;30,8;43;2,3;76,7;20,9;
Alingsås Yrkesgymnasium;17474377;Alingsås;1489;Enskild;Alingsås Yrkesgymnasium AB;5567290548;Engelska 5;24;4,2;83,3;12,5;8;..;..;..;16;..;..;..;
Alingsås Yrkesgymnasium;17474377;Alingsås;1489;Enskild;Alingsås Yrkesgymnasium AB;5567290548;Matematik 1A;46;.;65,2;34,8;17;.;64,7;35,3;29;.;65,5;34,5;
Alingsås Yrkesgymnasium;17474377;Alingsås;1489;Enskild;Alingsås Yrkesgymnasium AB;5567290548;Svenska 1;29;6,9;79,3;13,8;9;..;..;..;20;..;..;..;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Engelska 5;17;47,1;52,9;.;1;..;..;..;16;..;..;..;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Engelska 6;102;2,9;91,2;5,9;26;3,8;96,2;.;76;2,6;89,5;7,9;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Matematik 1A;17;.;94,1;5,9;2;..;..;..;15;..;..;..;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Matematik 4;41;.;75,6;24,4;12;.;83,3;16,7;29;.;72,4;27,6;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Svenska 1;15;.;73,3;26,7;1;..;..;..;14;..;..;..;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Svenska 3;72;2,8;61,1;36,1;22;4,5;72,7;22,7;50;2,0;56,0;42,0;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Svenska som andraspråk 3;8;..;..;..;4;..;..;..;4;..;..;..;
Alströmergymnasiet sektor 3;68229719;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Engelska 5;15;6,7;80,0;13,3;11;..;..;..;4;..;..;..;
Alströmergymnasiet sektor 3;68229719;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Engelska 6;77;13,0;80,5;6,5;52;15,4;75,0;9,6;25;8,0;92,0;.;
