Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Relationen mellan betyg och nationella prov
Vald termin: VT25

I april 2026 reviderades statistiken om provresultat för Engelska 6 med att även inkludera elever på yrkesprogram. Revideringen gjordes mot bakgrund av det förändrade provobligatoriet.

Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Prov;Antal elever;Andel lägre;Andel lika;Andel högre;Antal kvinnor;Andel lägre kvinnor;Andel lika kvinnor;Andel högre kvinnor;Antal män;Andel lägre män;Andel lika män;Andel högre män;
Yrkesgymnasiet Ale;93221031;Ale;1440;Enskild;Lärlingsgymnasiet i Sverige AB;5567628176;Engelska 5;54;5,6;81,5;13,0;22;9,1;68,2;22,7;32;3,1;90,6;6,3;
Yrkesgymnasiet Ale;93221031;Ale;1440;Enskild;Lärlingsgymnasiet i Sverige AB;5567628176;Engelska 6;27;25,9;66,7;7,4;4;..;..;..;23;..;..;..;
Yrkesgymnasiet Ale;93221031;Ale;1440;Enskild;Lärlingsgymnasiet i Sverige AB;5567628176;Matematik 1A;56;.;33,9;66,1;23;.;26,1;73,9;33;.;39,4;60,6;
Yrkesgymnasiet Ale;93221031;Ale;1440;Enskild;Lärlingsgymnasiet i Sverige AB;5567628176;Svenska 1;52;23,1;69,2;7,7;22;27,3;59,1;13,6;30;20,0;76,7;3,3;
Yrkesgymnasiet Ale;93221031;Ale;1440;Enskild;Lärlingsgymnasiet i Sverige AB;5567628176;Svenska som andraspråk 1;3;..;..;..;.;.;.;.;3;..;..;..;
Alingsås Yrkesgymnasium;17474377;Alingsås;1489;Enskild;Alingsås Yrkesgymnasium AB;5567290548;Engelska 5;22;.;81,8;18,2;12;.;83,3;16,7;10;.;80,0;20,0;
Alingsås Yrkesgymnasium;17474377;Alingsås;1489;Enskild;Alingsås Yrkesgymnasium AB;5567290548;Matematik 1A;26;3,8;46,2;50,0;12;.;33,3;66,7;14;7,1;57,1;35,7;
Alingsås Yrkesgymnasium;17474377;Alingsås;1489;Enskild;Alingsås Yrkesgymnasium AB;5567290548;Svenska 1;22;4,5;45,5;50,0;10;10,0;50,0;40,0;12;.;41,7;58,3;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Engelska 5;11;9,1;81,8;9,1;1;..;..;..;10;..;..;..;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Engelska 6;68;4,4;89,7;5,9;17;.;100,0;.;51;5,9;86,3;7,8;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Matematik 1A;11;.;45,5;54,5;1;..;..;..;10;..;..;..;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Matematik 4;36;.;88,9;11,1;12;.;83,3;16,7;24;.;91,7;8,3;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Svenska 1;12;.;41,7;58,3;1;..;..;..;11;..;..;..;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Svenska 3;88;3,4;70,5;26,1;24;4,2;58,3;37,5;64;3,1;75,0;21,9;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Svenska som andraspråk 3;10;10,0;60,0;30,0;2;..;..;..;8;..;..;..;
Alströmergymnasiet sektor 3;68229719;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Engelska 5;13;23,1;76,9;.;7;..;..;..;6;..;..;..;
Alströmergymnasiet sektor 3;68229719;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Engelska 6;56;7,1;75,0;17,9;39;2,6;74,4;23,1;17;17,6;76,5;5,9;
Alströmergymnasiet sektor 3;68229719;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Matematik 1A;21;.;57,1;42,9;12;..;..;..;9;..;..;..;
Alströmergymnasiet sektor 3;68229719;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Matematik 2B;52;.;80,8;19,2;35;.;77,1;22,9;17;.;88,2;11,8;
Alströmergymnasiet sektor 3;68229719;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Svenska 1;20;.;65,0;35,0;11;..;..;..;9;..;..;..;
Alströmergymnasiet sektor 3;68229719;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Svenska 3;60;.;33,3;66,7;37;.;32,4;67,6;23;.;34,8;65,2;
Alströmergymnasiet sektor 3;68229719;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Svenska som andraspråk 1;4;..;..;..;2;..;..;..;2;..;..;..;
Alströmergymnasiet sektor 3;68229719;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Svenska som andraspråk 3;2;..;..;..;2;..;..;..;.;.;.;.;
Alströmergymnasiet sektor 4;61004230;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Engelska 5;34;5,9;85,3;8,8;3;..;..;..;31;..;..;..;
Alströmergymnasiet sektor 4;61004230;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Engelska 6;103;3,9;84,5;11,7;47;2,1;80,9;17,0;56;5,4;87,5;7,1;
Alströmergymnasiet sektor 4;61004230;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Matematik 1A;36;.;94,4;5,6;4;..;..;..;32;..;..;..;
Alströmergymnasiet sektor 4;61004230;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Matematik 2B;27;.;66,7;33,3;19;..;..;..;8;..;..;..;
Alströmergymnasiet sektor 4;61004230;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Matematik 3B;50;.;86,0;14,0;20;.;85,0;15,0;30;.;86,7;13,3;
Alströmergymnasiet sektor 4;61004230;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Svenska 1;32;3,1;90,6;6,3;3;..;..;..;29;..;..;..;
Alströmergymnasiet sektor 4;61004230;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Svenska 3;83;4,8;51,8;43,4;40;5,0;42,5;52,5;43;4,7;60,5;34,9;
Alströmergymnasiet sektor 4;61004230;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Svenska som andraspråk 1;4;..;..;..;.;.;.;.;4;..;..;..;
Alströmergymnasiet sektor 5;67768292;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Svenska 1;11;18,2;36,4;45,5;7;..;..;..;4;..;..;..;
Alströmergymnasiet Sektor 6;16505784;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Engelska 5;10;.;90,0;10,0;8;..;..;..;2;..;..;..;
Alströmergymnasiet Sektor 6;16505784;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Engelska 6;13;7,7;84,6;7,7;10;..;..;..;3;..;..;..;
Alströmergymnasiet Sektor 6;16505784;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Matematik 1A;12;.;100,0;.;6;..;..;..;6;..;..;..;
Alströmergymnasiet Sektor 6;16505784;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Matematik 1B;22;.;90,9;9,1;13;..;..;..;9;..;..;..;
Alströmergymnasiet Sektor 6;16505784;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Svenska 1;24;.;50,0;50,0;15;..;..;..;9;..;..;..;
Alströmergymnasiet Sektor 6;16505784;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Svenska 3;17;5,9;94,1;.;12;..;..;..;5;..;..;..;
Alströmergymnasiet Sektor 6;16505784;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Svenska som andraspråk 3;1;..;..;..;1;..;..;..;.;.;.;.;
Sandbackaskolan;84947634;Arvidsjaur;2505;Kommunal;Arvidsjaurs kommun;2120002650;Engelska 6;47;6,4;78,7;14,9;28;7,1;71,4;21,4;19;5,3;89,5;5,3;
Sandbackaskolan;84947634;Arvidsjaur;2505;Kommunal;Arvidsjaurs kommun;2120002650;Matematik 1A;47;8,5;70,2;21,3;13;7,7;84,6;7,7;34;8,8;64,7;26,5;
Sandbackaskolan;84947634;Arvidsjaur;2505;Kommunal;Arvidsjaurs kommun;2120002650;Matematik 2B;12;.;83,3;16,7;7;..;..;..;5;..;..;..;
Sandbackaskolan;84947634;Arvidsjaur;2505;Kommunal;Arvidsjaurs kommun;2120002650;Matematik 3B;9;..;..;..;3;..;..;..;6;..;..;..;
Sandbackaskolan;84947634;Arvidsjaur;2505;Kommunal;Arvidsjaurs kommun;2120002650;Svenska 1;17;5,9;58,8;35,3;3;..;..;..;14;..;..;..;
Sandbackaskolan;84947634;Arvidsjaur;2505;Kommunal;Arvidsjaurs kommun;2120002650;Svenska 3;23;.;47,8;52,2;11;.;63,6;36,4;12;.;33,3;66,7;
Sandbackaskolan;84947634;Arvidsjaur;2505;Kommunal;Arvidsjaurs kommun;2120002650;Svenska som andraspråk 1;1;..;..;..;.;.;.;.;1;..;..;..;
Sandbackaskolan;84947634;Arvidsjaur;2505;Kommunal;Arvidsjaurs kommun;2120002650;Svenska som andraspråk 3;4;..;..;..;2;..;..;..;2;..;..;..;
Estetiska skolan, gymnasiet;23517336;Arvika;1784;Enskild;Estetiska Skolan Arvika;8740020212;Engelska 6;14;.;100,0;.;11;..;..;..;3;..;..;..;
Estetiska skolan, gymnasiet;23517336;Arvika;1784;Enskild;Estetiska Skolan Arvika;8740020212;Matematik 1B;16;.;93,8;6,3;12;..;..;..;4;..;..;..;
Estetiska skolan, gymnasiet;23517336;Arvika;1784;Enskild;Estetiska Skolan Arvika;8740020212;Svenska 3;8;..;..;..;5;..;..;..;3;..;..;..;
Estetiska skolan, gymnasiet;23517336;Arvika;1784;Enskild;Estetiska Skolan Arvika;8740020212;Svenska som andraspråk 3;2;..;..;..;2;..;..;..;.;.;.;.;
