Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Relationen mellan betyg och nationella prov
Vald termin: VT23


Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Prov;Antal elever;Andel lägre;Andel lika;Andel högre;Antal kvinnor;Andel lägre kvinnor;Andel lika kvinnor;Andel högre kvinnor;Antal män;Andel lägre män;Andel lika män;Andel högre män;
Lärlingsgymnasiet i Ale;93221031;Ale;1440;Enskild;Lärlingsgymnasiet i Sverige AB;5567628176;Engelska 5;64;6,3;92,2;1,6;16;.;100,0;.;48;8,3;89,6;2,1;
Lärlingsgymnasiet i Ale;93221031;Ale;1440;Enskild;Lärlingsgymnasiet i Sverige AB;5567628176;Matematik 1A;70;.;62,9;37,1;17;.;64,7;35,3;53;.;62,3;37,7;
Lärlingsgymnasiet i Ale;93221031;Ale;1440;Enskild;Lärlingsgymnasiet i Sverige AB;5567628176;Svenska 1;73;.;84,9;15,1;20;.;85,0;15,0;53;.;84,9;15,1;
Lärlingsgymnasiet i Ale;93221031;Ale;1440;Enskild;Lärlingsgymnasiet i Sverige AB;5567628176;Svenska som andraspråk 1;3;..;..;..;1;..;..;..;2;..;..;..;
Alingsås Yrkesgymnasium;17474377;Alingsås;1489;Enskild;Alingsås Yrkesgymnasium AB;5567290548;Engelska 5;19;.;94,7;5,3;10;..;..;..;9;..;..;..;
Alingsås Yrkesgymnasium;17474377;Alingsås;1489;Enskild;Alingsås Yrkesgymnasium AB;5567290548;Matematik 1A;19;.;47,4;52,6;8;..;..;..;11;..;..;..;
Alingsås Yrkesgymnasium;17474377;Alingsås;1489;Enskild;Alingsås Yrkesgymnasium AB;5567290548;Svenska 1;19;5,3;73,7;21,1;10;..;..;..;9;..;..;..;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Engelska 5;23;8,7;91,3;.;3;..;..;..;20;..;..;..;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Engelska 6;82;3,7;89,0;7,3;29;3,4;86,2;10,3;53;3,8;90,6;5,7;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Matematik 1A;28;.;82,1;17,9;6;..;..;..;22;..;..;..;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Matematik 4;28;.;85,7;14,3;11;.;81,8;18,2;17;.;88,2;11,8;
Alströmergymnasiet sektor 2;18345915;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;Svenska 1;26;.;69,2;30,8;6;..;..;..;20;..;..;..;
