Statistik från Skolverket, https://www.skolverket.se

Grundskola - Relationen mellan nationella prov och slutbetyg årskurs 9, svenska/svenska som andraspråk, matematik och engelska
Valt läsår: 2024/25

Exporten visar statistik om det finns minst 15 elever i årskurs 9 med både slutbetyg och provbetyg i 
ämnena svenska, matematik eller engelska.
Om data saknas visas en prick (.) istället för utfall.

Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Svenska, antal elever med provbetyg och slutbetyg;Svenska, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Svenska, andel (%) elever med lika slutbetyg jämfört med provbetyget;Svenska, andel (%) elever med högre slutbetyg jämfört med provbetyget;Matematik, antal elever med provbetyg och slutbetyg;Matematik, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Matematik, andel (%) elever med lika slutbetyg jämfört med provbetyget;Matematik, andel (%) elever med högre slutbetyg jämfört med provbetyget;Engelska, antal elever med provbetyg och slutbetyg;Engelska, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Engelska, andel (%) elever med lika slutbetyg jämfört med provbetyget;Engelska, andel (%) elever med högre slutbetyg jämfört med provbetyget;Svenska som andraspråk, antal elever med provbetyg och slutbetyg;Svenska som andraspråk, andel (%) elever med lägre slutbetyg jämfört med provbetyget;Svenska som andraspråk, andel (%) elever med lika slutbetyg jämfört med provbetyget;Svenska som andraspråk, andel (%) elever med högre slutbetyg jämfört med provbetyget;
Ahlafors Fria skola;71387206;Ale;1440;Enskild;Ahlafors Fria Skola Ekonomisk förening;7696142343;20;.;45,0;55,0;23;.;100,0;.;23;8,7;87,0;4,3;.;.;.;.;
Aroseniusskolan;48529699;Ale;1440;Kommunal;Ale kommun;2120001439;153;1,3;44,4;54,2;162;0,6;58,6;40,7;153;9,2;75,2;15,7;.;.;.;.;
Bohusskolan;11043800;Ale;1440;Kommunal;Ale kommun;2120001439;67;7,5;65,7;26,9;78;.;78,2;21,8;72;13,9;83,3;2,8;.;.;.;.;
Da Vinciskolan 1;71893438;Ale;1440;Kommunal;Ale kommun;2120001439;63;3,2;81,0;15,9;73;2,7;65,8;31,5;70;14,3;72,9;12,9;.;.;.;.;
Da Vinciskolan 2;71729095;Ale;1440;Kommunal;Ale kommun;2120001439;52;.;42,3;57,7;60;1,7;76,7;21,7;53;18,9;73,6;7,5;.;.;.;.;
Gustav Adolfsskolan;74064638;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;95;6,3;65,3;28,4;100;2,0;76,0;22,0;92;7,6;84,8;7,6;.;.;.;.;
Montessoriskolan Globen;87109819;Alingsås;1489;Enskild;Alingsås Montessori Skola Globen;8640009794;48;8,3;66,7;25,0;48;2,1;70,8;27,1;48;2,1;93,8;4,2;.;.;.;.;
Nolhagaskolan;84581048;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;125;10,4;74,4;15,2;137;.;75,2;24,8;134;12,7;82,8;4,5;.;.;.;.;
Sollebrunns skola 7-9;40731205;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;54;7,4;57,4;35,2;51;2,0;64,7;33,3;50;28,0;68,0;4,0;.;.;.;.;
Vittra Gerdsken;98272016;Alingsås;1489;Enskild;Vittraskolorna AB;5564586716;58;6,9;60,3;32,8;58;.;31,0;69,0;58;27,6;70,7;1,7;.;.;.;.;
Östlyckeskolan 7-9;63399058;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;103;1,9;73,8;24,3;117;6,8;75,2;17,9;116;10,3;69,8;19,8;.;.;.;.;
Hagaskolan;67183147;Alvesta;0764;Kommunal;Alvesta kommun;2120000639;116;7,8;52,6;39,7;134;3,0;59,0;38,1;135;13,3;82,2;4,4;21;.;66,7;33,3;
Mohedaskolan;69699568;Alvesta;0764;Kommunal;Alvesta kommun;2120000639;34;20,6;55,9;23,5;36;.;80,6;19,4;37;8,1;83,8;8,1;.;.;.;.;
Vislandaskolan;88176175;Alvesta;0764;Kommunal;Alvesta kommun;2120000639;47;4,3;66,0;29,8;50;4,0;90,0;6,0;50;16,0;78,0;6,0;.;.;.;.;
Furulidskolan;88669294;Aneby;0604;Kommunal;Aneby kommun;2120000498;53;9,4;64,2;26,4;68;2,9;89,7;7,4;68;16,2;72,1;11,8;.;.;.;.;
Gäddgårdsskolan 7-9;65483259;Arboga;1984;Kommunal;Arboga kommun;2120002122;42;14,3;59,5;26,2;57;.;63,2;36,8;53;30,2;54,7;15,1;.;.;.;.;
Stureskolan;13854755;Arboga;1984;Kommunal;Arboga kommun;2120002122;55;1,8;58,2;40,0;64;.;64,1;35,9;66;10,6;71,2;18,2;.;.;.;.;
Silverskolan;14254350;Arjeplog;2506;Kommunal;Arjeplogs kommun;2120002668;16;.;56,3;43,8;19;.;47,4;52,6;20;25,0;55,0;20,0;.;.;.;.;
Fridhemsskolan;48373752;Arvidsjaur;2505;Kommunal;Arvidsjaurs kommun;2120002650;44;2,3;56,8;40,9;42;4,8;66,7;28,6;44;25,0;63,6;11,4;.;.;.;.;
Estetiska skolan, högstadiet;99375199;Arvika;1784;Enskild;Estetiska Skolan Arvika;8740020212;43;.;79,1;20,9;46;2,2;82,6;15,2;47;.;100,0;.;.;.;.;.;
Minnebergsskolan;55958613;Arvika;1784;Kommunal;Arvika kommun;2120001892;193;3,1;66,3;30,6;213;5,6;71,4;23,0;207;22,2;74,4;3,4;20;5,0;70,0;25,0;
Sjöängsskolan;15766661;Askersund;1882;Kommunal;Askersunds kommun;2120001983;90;5,6;56,7;37,8;99;.;62,6;37,4;99;7,1;77,8;15,2;.;.;.;.;
Domarhagsskolan;87516620;Avesta;2084;Kommunal;Avesta kommun;2120002262;59;5,1;67,8;27,1;85;.;85,9;14,1;86;11,6;81,4;7,0;25;4,0;68,0;28,0;
Johan-Olovskolan;48240990;Avesta;2084;Kommunal;Avesta kommun;2120002262;28;3,6;39,3;57,1;26;.;84,6;15,4;27;3,7;88,9;7,4;.;.;.;.;
Åvestadalskolan;30454178;Avesta;2084;Kommunal;Avesta kommun;2120002262;76;11,8;40,8;47,4;81;2,5;79,0;18,5;88;15,9;76,1;8,0;.;.;.;.;
Bengtsgården;28484259;Bengtsfors;1460;Kommunal;Bengtsfors kommun;2120001470;67;16,4;49,3;34,3;85;4,7;58,8;36,5;79;11,4;79,7;8,9;.;.;.;.;
Myrvikens skola 4-9;64994637;Berg;2326;Kommunal;Bergs kommun;2120002502;20;10,0;85,0;5,0;20;10,0;75,0;15,0;20;10,0;90,0;.;.;.;.;.;
Svenstaviks skola 7-9;63849173;Berg;2326;Kommunal;Bergs kommun;2120002502;28;3,6;53,6;42,9;42;9,5;66,7;23,8;43;2,3;79,1;18,6;16;25,0;43,8;31,3;
Castorskolan F-9;20372097;Bjurholm;2403;Kommunal;Bjurholms kommun;2120002833;20;5,0;60,0;35,0;23;.;17,4;82,6;23;30,4;69,6;.;.;.;.;.;
Ekeby skola;56636046;Bjuv;1260;Kommunal;Bjuvs kommun;2120001041;38;.;57,9;42,1;38;2,6;57,9;39,5;38;31,6;57,9;10,5;.;.;.;.;
Jens Billeskolan;63754384;Bjuv;1260;Kommunal;Bjuvs kommun;2120001041;39;2,6;56,4;41,0;47;2,1;89,4;8,5;49;14,3;79,6;6,1;.;.;.;.;
Varagårdsskolan;10419361;Bjuv;1260;Kommunal;Bjuvs kommun;2120001041;50;6,0;78,0;16,0;73;.;71,2;28,8;76;10,5;81,6;7,9;23;4,3;82,6;13,0;
Brönjaskolan;60633912;Boden;2582;Kommunal;Bodens kommun;2120002767;80;16,3;65,0;18,8;88;2,3;47,7;50,0;88;20,5;54,5;25,0;.;.;.;.;
Fria Emilia;98998541;Boden;2582;Enskild;Friskola Fria Emilia Boden ekonomisk förening;7696083455;18;5,6;55,6;38,9;22;4,5;63,6;31,8;21;.;52,4;47,6;.;.;.;.;
Noblaskolan Boden;40708452;Boden;2582;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;62;8,1;66,1;25,8;64;.;71,9;28,1;63;1,6;95,2;3,2;.;.;.;.;
Stureskolan;83862028;Boden;2582;Kommunal;Bodens kommun;2120002767;76;5,3;48,7;46,1;88;5,7;83,0;11,4;99;9,1;73,7;17,2;22;.;59,1;40,9;
Bollebygdskolan 7-9;60372258;Bollebygd;1443;Kommunal;Bollebygds kommun;2120002973;102;3,9;70,6;25,5;102;5,9;77,5;16,7;112;19,6;68,8;11,6;.;.;.;.;
Alirskolan 7-9;65024773;Bollnäs;2183;Kommunal;Bollnäs kommun;2120002361;42;4,8;73,8;21,4;72;1,4;50,0;48,6;73;21,9;72,6;5,5;28;17,9;71,4;10,7;
Arbråskolan F-9;75662206;Bollnäs;2183;Kommunal;Bollnäs kommun;2120002361;26;.;73,1;26,9;29;.;55,2;44,8;28;.;75,0;25,0;.;.;.;.;
Friskolan Lust & Lära;91187921;Bollnäs;2183;Enskild;Friskolan Lust & Lära i Bollnäs AB;5567748149;119;2,5;55,5;42,0;129;.;65,9;34,1;121;5,0;79,3;15,7;.;.;.;.;
Kilafors skola F-9;41793797;Bollnäs;2183;Kommunal;Bollnäs kommun;2120002361;36;8,3;63,9;27,8;37;.;48,6;51,4;39;2,6;94,9;2,6;.;.;.;.;
Slottsskolan;80852248;Borgholm;0885;Kommunal;Borgholms kommun;2120000795;45;.;82,2;17,8;55;.;49,1;50,9;53;1,9;84,9;13,2;.;.;.;.;
Domnarvets skola;91219337;Borlänge;2081;Kommunal;Borlänge kommun;2120002239;57;5,3;59,6;35,1;63;.;52,4;47,6;67;9,0;74,6;16,4;.;.;.;.;
Forssaklackskolan;84601215;Borlänge;2081;Kommunal;Borlänge kommun;2120002239;120;10,0;62,5;27,5;125;0,8;75,2;24,0;118;7,6;73,7;18,6;.;.;.;.;
Gylle skola 7-9;11406792;Borlänge;2081;Kommunal;Borlänge kommun;2120002239;85;1,2;35,3;63,5;104;1,0;75,0;24,0;107;13,1;80,4;6,5;23;.;65,2;34,8;
Kunskapsskolan Borlänge;70510891;Borlänge;2081;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;63;12,7;71,4;15,9;66;1,5;37,9;60,6;68;13,2;79,4;7,4;.;.;.;.;
Maserskolan;56442130;Borlänge;2081;Kommunal;Borlänge kommun;2120002239;31;3,2;87,1;9,7;101;2,0;68,3;29,7;99;12,1;62,6;25,3;50;12,0;66,0;22,0;
Ornäs skola;58395955;Borlänge;2081;Kommunal;Borlänge kommun;2120002239;53;13,2;58,5;28,3;48;.;89,6;10,4;48;6,3;64,6;29,2;.;.;.;.;
Björkhöjdskolan 7-9;95576349;Borås;1490;Kommunal;Borås kommun;2120001561;52;13,5;63,5;23,1;70;.;70,0;30,0;65;16,9;66,2;16,9;22;4,5;54,5;40,9;
Bodaskolan 7-9;67454907;Borås;1490;Kommunal;Borås kommun;2120001561;100;8,0;54,0;38,0;150;.;68,7;31,3;150;13,3;77,3;9,3;47;.;53,2;46,8;
Borås Kristna skola;64720166;Borås;1490;Enskild;AB Borås Kristna Skola;5592935042;.;.;.;.;.;.;.;.;15;13,3;86,7;.;.;.;.;.;
Dalsjöskolan 7-9;60557814;Borås;1490;Kommunal;Borås kommun;2120001561;123;4,1;49,6;46,3;125;3,2;64,0;32,8;128;14,1;70,3;15,6;.;.;.;.;
Daltorpskolan 7-9;97706771;Borås;1490;Kommunal;Borås kommun;2120001561;93;.;57,0;43,0;112;4,5;91,1;4,5;104;5,8;77,9;16,3;15;6,7;40,0;53,3;
